ID,title,status,Dernière modification,is_global,themes,profiles,,link
,Développer l'emploi accompagné pour passer de 1 500 bénéficiaires à 50 000 en 2021,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Handicap,Travail,Entreprises",En recherche d'emploi,à inclure sur OLDOLF,
,Créer 40 000 emplois supplémentaires pour les handicapés,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Handicap,Travail,Entreprises",En recherche d'emploi,à inclure sur OLDOLF,
,Simplifier et Réduire les délais des maisons départementales des personnes handicapées,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Handicap,Action publique",,à inclure sur OLDOLF,
,Améliorer l’accès aux soins des personnes handicapées et leur satisfaction (publication d’indicateurs),IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Handicap,Santé  ",,à inclure sur OLDOLF,
,Améliorer le droit au séjour des personnes vulnérables ,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,Immigration et asile,,à inclure sur OLDOLF,
,Relancer le conseil national de l’industrie (CNI),DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Industrie,Action publique",,à inclure sur OLDOLF,
,Baisser les impôts sur la production ,UPCOMING,"Tues, 2 Jul 2019 12:40:50 +0100",,"Industrie,Entreprise,fiscalité",En recherche d'emploi,à inclure sur OLDOLF,
,Créer une procédure de demande provisoire de brevet,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Industrie,Enseignement supérieur,recheche",,à inclure sur OLDOLF,
,Expérimenter un tribunal criminel pour limiter le recours aux jurys d’assises,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,Justice,,à inclure sur OLDOLF,
,Rendre possible l'obtention d'un extrait du casier judiciaire B3 en ligne,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Justice,Numérique",,à inclure sur OLDOLF,
,Favoriser l’insertion professionnelle des détenus,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Justice,Travail",,à inclure sur OLDOLF,
,Assouplir le référundum d'initiative partagée,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Justice,Vie publique et politique",,à inclure sur OLDOLF,
,"Permettre aux détenus de voter
",DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Justice,Vie publique et politique",,à inclure sur OLDOLF,
,Donner plus de flexibilité aux collectivités pour proposer des solutions de transports,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Mobilité,Territoire",,à inclure sur OLDOLF,
,Baisser le coût du permis de conduire de 30%,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Mobilité,Pouvoir d'achat",,à inclure sur OLDOLF,
,Créer un délégué interministériel à la concurrence en outre-mer,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Outre-mer,Entreprise",,à inclure sur OLDOLF,
,Créer des groupes de participation citoyenne associés aux travaux de l’observatoire des prix,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Outre-mer,Vie politique et publique",,à inclure sur OLDOLF,
,Renforcer la lutte contre les sargasses,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Outre-mer,Transition écologique,Mer",,à inclure sur OLDOLF,
,Mettre en place des plateformes de recherche dans chaque bassin maritime,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Outre-mer,Mer",,à inclure sur OLDOLF,
,Moderniser le statut de la Polynésie francaise,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Outre-mer,Action publique",,à inclure sur OLDOLF,
,Reconnaitre le fait nucléaire et ses conséquences en Polynésie française,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,Outre-mer,,à inclure sur OLDOLF,
,Revaloriser de 30% du complément mode de garde pour les parents isolés,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Pauvreté,Pouvoir d'achat",,à inclure sur OLDOLF,
,Généraliser la Garantie jeune,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Pauvreté,Travail",Etudiant,à inclure sur OLDOLF,
,Renforcer l’aide sociale à l’enfance et donner la possibilité de la prolonger à 21 ans,UPCOMING,"Tues, 2 Jul 2019 12:40:50 +0100",,"Pauvreté,Société",Famille ,à inclure sur OLDOLF,
