"zone";"id";"type"
zone_city_59656;1649;city
zone_city_77322;1905;city
zone_city_13041;1394;city
zone_city_59659;1650;city
zone_city_77326;1906;city
zone_city_13042;1395;city
zone_city_59660;1651;city
zone_city_77327;1907;city
zone_city_13043;1396;city
zone_city_59663;1652;city
zone_city_77330;1908;city
zone_city_13044;1397;city
zone_city_69003;1653;city
zone_city_77333;1909;city
zone_city_13045;1398;city
zone_city_69006;1654;city
zone_city_77335;1910;city
zone_city_13046;1399;city
zone_city_69007;1655;city
zone_city_77337;1911;city
zone_city_13047;1400;city
zone_city_69009;1656;city
zone_city_77349;1912;city
zone_city_13048;1401;city
zone_city_69010;1657;city
zone_city_77350;1913;city
zone_city_13050;1402;city
zone_city_69013;1658;city
zone_city_77371;1914;city
zone_city_13051;1403;city
zone_city_69019;1659;city
zone_city_77372;1915;city
zone_city_13052;1404;city
zone_city_69024;1660;city
zone_city_77373;1916;city
zone_city_13053;1405;city
zone_city_69027;1661;city
zone_city_77378;1917;city
zone_city_13054;1406;city
zone_city_69028;1662;city
zone_city_77379;1918;city
zone_city_13055;1407;city
zone_city_69029;1663;city
zone_city_77382;1919;city
zone_city_13056;1408;city
zone_city_69033;1664;city
zone_city_77389;1920;city
zone_city_13059;1409;city
zone_city_69034;1665;city
zone_city_77390;1921;city
zone_city_13060;1410;city
zone_city_69040;1666;city
zone_city_77393;1922;city
zone_city_13062;1411;city
zone_city_69043;1667;city
zone_city_77407;1923;city
zone_city_13063;1412;city
zone_city_69044;1668;city
zone_city_77409;1924;city
zone_city_13064;1413;city
zone_city_69046;1669;city
zone_city_77413;1925;city
zone_city_13065;1414;city
zone_city_69049;1670;city
zone_city_77419;1926;city
zone_city_13066;1415;city
zone_city_69052;1671;city
zone_city_77420;1927;city
zone_city_13067;1416;city
zone_city_69063;1672;city
zone_city_77430;1928;city
zone_city_13069;1417;city
zone_city_69064;1673;city
zone_city_77431;1929;city
zone_city_13070;1418;city
zone_city_69066;1674;city
zone_city_77437;1930;city
zone_city_13071;1419;city
zone_city_69068;1675;city
zone_city_77438;1931;city
zone_city_13072;1420;city
zone_city_69069;1676;city
zone_city_77445;1932;city
zone_city_13073;1421;city
zone_city_69072;1677;city
zone_city_77449;1933;city
zone_city_13074;1422;city
zone_city_69076;1678;city
zone_city_77450;1934;city
zone_city_13075;1423;city
zone_city_69081;1679;city
zone_city_77458;1935;city
zone_city_13076;1424;city
zone_city_69087;1680;city
zone_city_77463;1936;city
zone_city_13077;1425;city
zone_city_69088;1681;city
zone_city_77464;1937;city
zone_city_13078;1426;city
zone_city_69089;1682;city
zone_city_77468;1938;city
zone_city_13080;1427;city
zone_city_69091;1683;city
zone_city_77470;1939;city
zone_city_13081;1428;city
zone_city_69092;1684;city
zone_city_77475;1940;city
zone_city_13082;1429;city
zone_city_69094;1685;city
zone_city_77479;1941;city
zone_city_13083;1430;city
zone_city_69096;1686;city
zone_city_77482;1942;city
zone_city_13084;1431;city
zone_city_69100;1687;city
zone_city_77487;1943;city
zone_city_13085;1432;city
zone_city_69112;1688;city
zone_city_77493;1944;city
zone_city_13086;1433;city
zone_city_69115;1689;city
zone_city_77494;1945;city
zone_city_13087;1434;city
