"code","name","postal_code","population","code_department","code_city_community","code_canton"
"01174",Giron,"01130",180,"01","240100891","0103"
"01175",Gorrevod,"01190",861,"01","200071371","0117"
"01177",Grand-Corent,"01250",174,"01","200071751","0118"
"01179",Grièges,"01290",1881,"01","200070555","0123"
"01180",Grilly,"01220",808,"01","240100750","0109"
"01181",Groissiat,"01100",1223,"01","200042935","0114"
"01183",Guéreins,"01090",1435,"01","200070118","0108"
"01184",Hautecourt-Romanèche,"01250",784,"01","200071751","0118"
"01185",Plateau d’Hauteville,"01110",4845,"01","200042935","0110"
"01187",Haut Valromey,"01260",695,"01","200040350","0110"
"01188",Illiat,"01140",615,"01","200070118","0108"
"01189",Injoux-Génissiat,"01200",1147,"01","240100891","0103"
"01190",Innimond,"01680",98,"01","240100883","0111"
"01191",Izenave,"01430",162,"01","200042935","0110"
"01192",Izernore,"01580",2257,"01","200042935","0116"
"01193",Izieu,"01300",242,"01","200040350","0104"
"01194",Jassans-Riottier,"01480",6391,"01","200040590","0121"
"01195",Jasseron,"01250",1762,"01","200071751","0118"
"01196",Jayat,"01340",1166,"01","200071751","0102"
"01197",Journans,"01250",355,"01","200071751","0107"
"01198",Joyeux,"01800",274,"01","240100883","0112"
"01199",Jujurieux,"01640",2181,"01","200029999","0116"
"01200",Labalme,"01450",212,"01","200029999","0116"
"01202",Lagnieu,"01150",7090,"01","240100883","0111"
"01203",Laiz,"01290",1213,"01","200070555","0123"
"01204",Le Poizat-Lalleyriat,"01130",712,"01","200042935","0114"
"01206",Lantenay,"01430",272,"01","200042935","0110"
"01207",Lapeyrouse,"01330",324,"01","200069193","0122"
"01208",Lavours,"01350",127,"01","200040350","0104"
"01209",Léaz,"01200",719,"01","240100750","0120"
"01210",Lélex,"01410",225,"01","240100750","0120"
"01211",Lent,"01240",1416,"01","200071751","0107"
"01212",Lescheroux,"01560",727,"01","200071751","0117"
"01213",Leyment,"01150",1285,"01","240100883","0111"
"01214",Leyssard,"01450",153,"01","200042935","0116"
"01215",Surjoux-Lhopital,"01420",126,"01","240100891","0103"
"01216",Lhuis,"01680",890,"01","240100883","0111"
"01219",Lompnas,"01680",169,"01","240100883","0111"
"01224",Loyettes,"01360",3145,"01","240100883","0111"
"01225",Lurcy,"01090",379,"01","200070118","0122"
"01227",Magnieu,"01300",640,"01","200040350","0104"
"01228",Maillat,"01430",623,"01","200042935","0114"
"01229",Malafretaz,"01340",1188,"01","200071751","0102"
"01230",Mantenay-Montlin,"01560",310,"01","200071751","0117"
"01231",Manziat,"01570",1977,"01","200071371","0117"
"01232",Marboz,"01851",2226,"01","200071751","0118"
"01233",Marchamp,"01680",131,"01","240100883","0111"
"01234",Marignieu,"01300",173,"01","200040350","0104"
"01235",Marlieux,"01240",1068,"01","200069193","0108"
"01236",Marsonnas,"01340",981,"01","200071751","0102"
"01237",Martignat,"01100",1627,"01","200042935","0114"
"01238",Massieux,"01600",2519,"01","200042497","0121"
"01239",Massignieu-de-Rives,"01300",613,"01","200040350","0104"
"01240",Matafelon-Granges,"01580",645,"01","200042935","0116"
"01241",Meillonnas,"01370",1332,"01","200071751","0118"
"01242",Mérignat,"01450",126,"01","200029999","0116"
"01243",Messimy-sur-Saône,"01480",1210,"01","200070118","0122"
"01244",Meximieux,"01800",7669,"01","240100883","0112"
"01245",Bohas-Meyriat-Rignat,"01250",895,"01","200071751","0118"
"01246",Mézériat,"01660",2134,"01","200070555","0123"
"01247",Mijoux,"01410,01170",340,"01","240100750","0120"
"01248",Mionnay,"01390",2132,"01","200069193","0122"
"01249",Miribel,"01700",9742,"01","240100800","0113"
"01250",Misérieux,"01600",1938,"01","200042497","0121"
"01252",Mogneneins,"01140",774,"01","200070118","0108"
"01254",Montagnat,"01250",1960,"01","200071751","0107"
"01255",Montagnieu,"01470",609,"01","240100883","0111"
"01257",Montanges,"01200",341,"01","240100891","0103"
"01258",Montceaux,"01090",1182,"01","200070118","0108"
"01259",Montcet,"01310",675,"01","200071751","0102"
"01260",Le Montellier,"01800",293,"01","240100883","0112"
"01261",Monthieux,"01390",648,"01","200069193","0122"
"01262",Montluel,"01120",7005,"01","240100610","0112"
"01263",Montmerle-sur-Saône,"01090",3811,"01","200070118","0108"
"01264",Montracol,"01310",1052,"01","200071751","0102"
"01265",Montréal-la-Cluse,"01460",3409,"01","200042935","0114"
"01266",Montrevel-en-Bresse,"01340",2463,"01","200071751","0102"
"01267",Nurieux-Volognat,"01460",1030,"01","200042935","0116"
"01268",Murs-et-Gélignieux,"01300",255,"01","200040350","0104"
"01269",Nantua,"01130,01460",3482,"01","200042935","0114"
"01272",Neuville-les-Dames,"01400",1505,"01","200069193","0108"
"01273",Neuville-sur-Ain,"01160",1741,"01","200029999","0116"
"01274",Les Neyrolles,"01130",636,"01","200042935","0114"
"01275",Neyron,"01700",2507,"01","240100800","0113"
"01276",Niévroz,"01120",1577,"01","240100610","0113"
"01277",Nivollet-Montgriffon,"01230",118,"01","240100883","0101"
"01279",Oncieu,"01230",94,"01","240100883","0101"
"01280",Ordonnaz,"01510",146,"01","240100883","0111"
"01281",Ornex,"01210",4400,"01","240100750","0119"
"01282",Outriaz,"01430",261,"01","200042935","0110"
"01283",Oyonnax,"01100",22559,"01","200042935","0115"
"01284",Ozan,"01190",674,"01","200071371","0117"
"01285",Parcieux,"01600",1188,"01","200042497","0121"
"01286",Parves et Nattages,"01300",937,"01","200040350","0104"
"01288",Péron,"01630",2584,"01","240100750","0120"
"01289",Péronnas,"01960",6287,"01","200071751","0106"
"01290",Pérouges,"01800",1205,"01","240100883","0112"
"01291",Perrex,"01540",824,"01","200070555","0123"
"01293",Peyriat,"01430",164,"01","200042935","0116"
"01294",Peyrieu,"01300",862,"01","200040350","0104"
"01295",Peyzieux-sur-Saône,"01140",663,"01","200070118","0108"
"01296",Pirajoux,"01270",389,"01","200071751","0118"
"01297",Pizay,"01120",796,"01","240100610","0112"
"01298",Plagne,"01130",123,"01","240100891","0103"
"01299",Le Plantay,"01330",553,"01","200069193","0107"
"01301",Polliat,"01310",2504,"01","200071751","0102"
"01302",Pollieu,"01350",161,"01","200040350","0104"
"01303",Poncin,"01450",1696,"01","200029999","0116"
"01304",Pont-d'Ain,"01160",2914,"01","200029999","0116"
"01305",Pont-de-Vaux,"01190",2290,"01","200071371","0117"
"01306",Pont-de-Veyle,"01290",1618,"01","200070555","0123"
"01307",Port,"01460",855,"01","200042935","0114"
"01308",Pougny,"01550",815,"01","240100750","0120"
"01309",Pouillat,"01250",90,"01","200071751","0118"
"01310",Prémeyzel,"01300",247,"01","200040350","0104"
"01311",Prémillieu,"01110",46,"01","200042935","0110"
"01313",Prévessin-Moëns,"01280",7991,"01","240100750","0119"
"01314",Priay,"01160",1707,"01","200029999","0116"
"01317",Ramasse,"01250",321,"01","200071751","0118"
"01318",Rancé,"01390",727,"01","200042497","0122"
"01319",Relevant,"01990",463,"01","200069193","0122"
"01320",Replonges,"01750",3702,"01","200071371","0117"
"01321",Revonnas,"01250",921,"01","200071751","0107"
"01322",Reyrieux,"01600",4670,"01","200042497","0121"
"01323",Reyssouze,"01190",975,"01","200071371","0117"
"01325",Rignieux-le-Franc,"01800",976,"01","240100883","0112"
"01328",Romans,"01400",594,"01","200069193","0108"
"01329",Rossillon,"01510",153,"01","200040350","0104"
"01330",Ruffieu,"01260",184,"01","200040350","0110"
"01331",Saint-Alban,"01450",179,"01","200029999","0116"
"01332",Saint-André-de-Bâgé,"01380",742,"01","200071371","0117"
"01333",Saint-André-de-Corcy,"01390",3241,"01","200069193","0122"
"01334",Saint-André-d'Huiriat,"01290",602,"01","200070555","0123"
"01335",Saint-André-le-Bouchoux,"01240",384,"01","200069193","0108"
"01336",Saint-André-sur-Vieux-Jonc,"01960",1126,"01","200071751","0107"
"01337",Saint-Bénigne,"01190",1254,"01","200071371","0117"
"01338",Groslée-Saint-Benoit,"01680,01300",1193,"01","200040350",
"01339",Saint-Bernard,"01600",1434,"01","200042497","0121"
"01342",Sainte-Croix,"01120",566,"01","240100610","0112"
"01343",Saint-Cyr-sur-Menthon,"01380",1761,"01","200070555","0123"
"01344",Saint-Denis-lès-Bourg,"01000",5667,"01","200071751","0106"
"01345",Saint-Denis-en-Bugey,"01500",2293,"01","240100883","0101"
"01346",Saint-Didier-d'Aussiat,"01340",879,"01","200071751","0102"
"01347",Saint-Didier-de-Formans,"01600",1944,"01","200042497","0121"
"01348",Saint-Didier-sur-Chalaronne,"01140",2832,"01","200070118","0108"
"01349",Saint-Éloi,"01800",453,"01","240100883","0112"
"01350",Saint-Étienne-du-Bois,"01370",2490,"01","200071751","0118"
"01351",Saint-Étienne-sur-Chalaronne,"01140",1546,"01","200070118","0108"
"01352",Saint-Étienne-sur-Reyssouze,"01190",568,"01","200071371","0117"
